,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
622,28,yes,400,[0.2 0.7 0.1],49,7,0.3,13.98333333,0.449896638,13.98333333
623,29,yes,400,[0.2 0.8 0. ],49,7,0.3,13.98333333,0.44849709,13.98333333
624,30,yes,400,[0.3 0.  0.7],49,7,0.3,14.2,0.472445176,14.2
625,31,yes,400,[0.3 0.1 0.6],49,7,0.3,14.2,0.472445176,14.2
626,32,yes,400,[0.3 0.2 0.5],49,7,0.3,14.0,0.461779986,14.0
627,33,yes,400,[0.3 0.3 0.4],49,7,0.3,14.0,0.461678371,14.0
628,34,yes,400,[0.3 0.4 0.3],49,7,0.3,14.25,0.47563989,14.25
629,35,yes,400,[0.3 0.5 0.2],49,7,0.3,14.23333333,0.465169722,14.23333333
630,36,yes,400,[0.3 0.6 0.1],49,7,0.3,13.98333333,0.449876546,13.98333333
631,37,yes,400,[0.3 0.7 0. ],49,7,0.3,13.98333333,0.44849709,13.98333333
632,38,yes,400,[0.4 0.  0.6],49,7,0.3,14.2,0.473811296,14.2
633,39,yes,400,[0.4 0.1 0.5],49,7,0.3,14.2,0.473811296,14.2
634,40,yes,400,[0.4 0.2 0.4],49,7,0.3,14.0,0.461779986,14.0
635,41,yes,400,[0.4 0.3 0.3],49,7,0.3,14.25,0.475658236,14.25
636,42,yes,400,[0.4 0.4 0.2],49,7,0.3,14.25,0.475623011,14.25
637,43,yes,400,[0.4 0.5 0.1],49,7,0.3,14.23333333,0.465149301,14.23333333
638,44,yes,400,[0.4 0.6 0. ],49,7,0.3,13.98333333,0.44849709,13.98333333
639,45,yes,400,[0.5 0.  0.5],49,7,0.3,14.2,0.473811296,14.2
640,46,yes,400,[0.5 0.1 0.4],49,7,0.3,14.0,0.472708948,14.0
641,47,yes,400,[0.5 0.2 0.3],49,7,0.3,14.25,0.478504097,14.25
642,48,yes,400,[0.5 0.3 0.2],49,7,0.3,14.25,0.475658236,14.25
643,49,yes,400,[0.5 0.4 0.1],49,7,0.3,14.25,0.475623011,14.25
644,50,yes,400,[0.5 0.5 0. ],49,7,0.3,13.98333333,0.44849709,13.98333333
645,51,yes,400,[0.6 0.  0.4],49,7,0.3,14.2,0.473811296,14.2
646,52,yes,400,[0.6 0.1 0.3],49,7,0.3,14.25,0.48683743,14.25
647,53,yes,400,[0.6 0.2 0.2],49,7,0.3,14.25,0.477115208,14.25
648,54,yes,400,[0.6 0.3 0.1],49,7,0.3,14.25,0.475658236,14.25
649,55,yes,400,[0.6 0.4 0. ],49,7,0.3,14.25,0.471386693,14.25
650,56,yes,400,[0.7 0.  0.3],49,7,0.3,14.45,0.485170764,14.45
651,57,yes,400,[0.7 0.1 0.2],49,7,0.3,14.25,0.478504097,14.25
652,58,yes,400,[0.7 0.2 0.1],49,7,0.3,14.25,0.474232798,14.25
653,59,yes,400,[0.7 0.3 0. ],49,7,0.3,14.25,0.474212364,14.25
654,60,yes,400,[0.8 0.  0.2],49,7,0.3,14.25,0.478504097,14.25
655,61,yes,400,[0.8 0.1 0.1],49,7,0.3,14.25,0.47568977,14.25
656,62,yes,400,[ 0.8  0.2 -0. ],49,7,0.3,14.25,0.474212364,14.25
657,63,yes,400,[0.9 0.  0.1],49,7,0.3,14.25,0.482634214,14.25
658,64,yes,400,[ 0.9  0.1 -0. ],49,7,0.3,14.25,0.467336002,14.25
659,65,yes,400,[1. 0. 0.],49,7,0.3,14.25,0.463105035,14.25
